"지역
(읍면동)","피해차량
(대)"
경상남도 밀양시 내이동,34
경기도 성남시 중원구 하대원동,34
경기도 안성시 양성면,34
대구광역시 수성구 범어2동,34
인천광역시 남동구 논현1동,34
서울특별시 강남구 개포4동,34
인천광역시 동구 송림6동,34
강원도 춘천시 석사동,34
강원도 강릉시 주문진읍,34
서울특별시 강동구 성내제3동,34
경기도 김포시 통진읍,34
전라북도 군산시 월명동,34
서울특별시 송파구 석촌동,34
경상남도 창원시 마산회원구 석전동,34
경상북도 구미시 신평1동,34
부산광역시 남구 대연제3동,34
부산광역시 중구 남포동,34
경기도 구리시 수택2동,34
서울특별시 송파구 잠실본동,34
서울특별시 마포구 성산제2동,34
서울특별시 강서구 염창동,34
경기도 동두천시 생연1동,34
경기도 부천시 역곡3동,34
경기도 평택시 진위면,34
대전광역시 유성구 진잠동,34
제주특별자치도 제주시 아라동,33
경상남도 창원시 진해구 자은동,33
전라북도 군산시 나운3동,33
서울특별시 동대문구 장안제2동,33
충청북도 청주시 상당구 영운동,33
서울특별시 서대문구 연희동,33
대전광역시 서구 월평1동,33
부산광역시 사하구 장림제2동,33
충청남도 보령시 대천3동,33
울산광역시 중구 우정동,33
서울특별시 구로구 구로제3동,33
경기도 안양시 만안구 안양4동,33
인천광역시 남동구 구월3동,33
경상남도 거제시 연초면,33
제주특별자치도 제주시 오라동,33
대구광역시 남구 봉덕3동,33
경기도 양평군 용문면,33
경기도 안산시 단원구 호수동,33
충청남도 공주시 월송동,33
경기도 고양시 덕양구 행신3동,33
서울특별시 강동구 상일동,33
전라남도 여수시 한려동,33
경상남도 창원시 진해구 풍호동,33
제주특별자치도 서귀포시 대천동,33
경기도 김포시 사우동,33
경상북도 영천시 완산동,33
경기도 수원시 팔달구 화서동,33
서울특별시 중구 명동,33
전라남도 완도군 완도읍,33
대구광역시 중구 삼덕동,33
대구광역시 동구 불로.봉무동,32
충청북도 영동군 영동읍,32
부산광역시 부산진구 가야제3동,32
서울특별시 양천구 목동,32
대전광역시 유성구 구즉동,32
대구광역시 북구 태전2동,32
제주특별자치도 제주시 구좌읍,32
경기도 의정부시 장암동,32
충청남도 천안시 동남구 중앙동,32
경기도 양주시 양주2동,32
충청북도 청주시 상당구 중앙동,32
서울특별시 중랑구 중화제2동,32
경상남도 진주시 평거동,32
울산광역시 남구 신정3동,32
경상남도 창원시 마산합포구 자산동,32
울산광역시 중구 태화동,32
충청남도 부여군 부여읍,32
서울특별시 광진구 구의제2동,32
서울특별시 서대문구 남가좌제2동,32
경기도 오산시 중앙동,32
경상북도 청도군 청도읍,32
전라남도 나주시 성북동,32
충청북도 제천시 화산동,32
경기도 용인시 기흥구 기흥동,32
충청북도 청주시 서원구 분평동,32
경상남도 진주시 충무공동,32
부산광역시 북구 구포제3동,32
서울특별시 성북구 돈암제1동,31
충청북도 음성군 금왕읍,31
경상남도 창원시 진해구 태백동,31
대구광역시 남구 대명4동,31
경상남도 합천군 합천읍,31
서울특별시 성동구 마장동,31
경기도 부천시 신흥동,31
경기도 파주시 탄현면,31
충청남도 천안시 서북구 성정1동,31
대구광역시 달서구 이곡1동,31
서울특별시 서대문구 홍제제3동,31
경상북도 문경시 점촌5동,31
충청남도 아산시 둔포면,31
부산광역시 서구 충무동,31
충청남도 아산시 온양5동,31
대전광역시 중구 태평2동,31
인천광역시 남동구 만수2동,31
서울특별시 동대문구 회기동,31
경상북도 안동시 용상동,31
대구광역시 동구 신천3동,31
경기도 안산시 상록구 반월동,31
경상북도 경주시 외동읍,31
서울특별시 서대문구 홍제제1동,31
경기도 광명시 소하2동,31
서울특별시 중구 회현동,31
부산광역시 동래구 안락제2동,31
경기도 부천시 상동,31
경상남도 남해군 남해읍,31
전라남도 나주시 영강동,31
경기도 성남시 중원구 도촌동,30
서울특별시 서대문구 홍은제1동,30
전라남도 장흥군 장흥읍,30
부산광역시 남구 문현제3동,30
서울특별시 성북구 장위제1동,30
대구광역시 서구 비산2.3동,30
경상남도 사천시 선구동,30
인천광역시 서구 원당동,30
인천광역시 미추홀구 주안7동,30
광주광역시 서구 화정4동,30
부산광역시 서구 아미동,30
충청남도 당진시 송악읍,30
광주광역시 북구 매곡동,30
경기도 평택시 세교동,30
서울특별시 서대문구 북가좌제2동,30
광주광역시 북구 운암2동,30
서울특별시 용산구 청파동,30
충청남도 서산시 수석동,30
서울특별시 광진구 자양제4동,30
세종특별자치시 고운동,30
부산광역시 중구 영주제2동,30
서울특별시 관악구 서원동,30
강원도 횡성군 횡성읍,30
경상남도 창원시 진해구 이동,30
부산광역시 금정구 서제3동,30
서울특별시 관악구 은천동,30
충청북도 청주시 흥덕구 강서제2동,30
경상북도 칠곡군 북삼읍,30
서울특별시 종로구 종로5.6가동,30
대전광역시 서구 도마2동,30
서울특별시 중랑구 면목제3.8동,29
경기도 부천시 원미2동,29
서울특별시 성동구 왕십리도선동,29
서울특별시 도봉구 도봉제1동,29
광주광역시 남구 주월1동,29
경기도 김포시 장기본동,29
대구광역시 달서구 도원동,29
경상북도 경산시 중앙동,29
서울특별시 송파구 가락본동,29
전라북도 익산시 팔봉동,29
경상북도 안동시 서구동,29
경상남도 창원시 마산회원구 양덕2동,29
경상남도 창원시 의창구 팔용동,29
서울특별시 은평구 진관동,29
경기도 구리시 수택3동,29
서울특별시 양천구 목2동,29
경기도 부천시 심곡본1동,29
서울특별시 강동구 천호제3동,29
강원도 춘천시 신사우동,29
제주특별자치도 서귀포시 안덕면,29
경상남도 통영시 무전동,29
인천광역시 남동구 만수1동,29
전라남도 목포시 유달동,29
대구광역시 달서구 두류3동,29
충청북도 청주시 서원구 사직2동,29
경기도 하남시 미사2동,29
경기도 하남시 초이동,29
광주광역시 광산구 평동,29
경상남도 통영시 중앙동,28
서울특별시 관악구 신림동,28
인천광역시 강화군 강화읍,28
서울특별시 성북구 성북동,28
전라남도 여수시 서강동,28
인천광역시 미추홀구 주안8동,28
경기도 고양시 덕양구 고양동,28
대전광역시 동구 자양동,28
경기도 화성시 동탄3동,28
서울특별시 도봉구 쌍문제1동,28
강원도 속초시 조양동,28
대전광역시 서구 가수원동,28
충청남도 천안시 서북구 직산읍,28
전라북도 전주시 덕진구 금암1동,28
경기도 안산시 상록구 본오3동,28
충청남도 천안시 동남구 원성1동,28
전라남도 목포시 용당2동,28
서울특별시 성북구 종암동,28
인천광역시 계양구 작전서운동,28
경상북도 경산시 중방동,28
울산광역시 동구 화정동,28
강원도 강릉시 홍제동,28
서울특별시 은평구 응암제2동,28
경기도 김포시 하성면,28
울산광역시 울주군 삼남면,28
경기도 용인시 처인구 모현읍,28
대전광역시 대덕구 회덕동,28
경기도 오산시 남촌동,28
대전광역시 서구 용문동,28
울산광역시 동구 전하1동,27
서울특별시 금천구 독산제2동,27
서울특별시 서초구 서초1동,27
서울특별시 노원구 상계5동,27
경기도 의왕시 고천동,27
인천광역시 계양구 효성1동,27
인천광역시 연수구 연수3동,27
서울특별시 광진구 군자동,27
울산광역시 중구 반구1동,27
광주광역시 동구 지산1동,27
부산광역시 사하구 감천제1동,27
세종특별자치시 소담동,27
인천광역시 서구 가좌4동,27
충청북도 충주시 동량면,27
경기도 부천시 역곡2동,27
전라북도 익산시 영등1동,27
경기도 용인시 기흥구 구성동,27
경기도 성남시 분당구 야탑1동,27
경기도 평택시 신장2동,27
경기도 수원시 팔달구 화서1동,27
서울특별시 중구 황학동,27
광주광역시 북구 동림동,27
서울특별시 구로구 구로제2동,27
전라북도 전주시 완산구 중화산2동,27
서울특별시 송파구 삼전동,27
부산광역시 기장군 장안읍,27
서울특별시 강동구 고덕제2동,27
서울특별시 용산구 한남동,27
부산광역시 북구 만덕제2동,27
경상북도 구미시 임오동,27
충청남도 천안시 동남구 목천읍,27
서울특별시 동작구 흑석동,27
인천광역시 연수구 송도4동,27
제주특별자치도 서귀포시 중앙동,27
충청북도 청주시 흥덕구 향정동,27
대구광역시 달성군 논공읍,27
충청남도 천안시 서북구 쌍용3동,27
부산광역시 연제구 연산제6동,27
충청북도 제천시 용두동,27
부산광역시 남구 용호제3동,27
부산광역시 중구 중앙동,27
부산광역시 해운대구 반송제2동,27
서울특별시 강북구 송중동,27
경기도 안양시 만안구 안양6동,27
충청북도 청주시 서원구 사직1동,27
경상북도 경주시 용강동,27
경기도 가평군 청평면,27
부산광역시 사상구 괘법동,27
대구광역시 수성구 수성1가동,27
전라남도 여수시 삼일동,26
경기도 화성시 동탄2동,26
부산광역시 영도구 남항동,26
경상북도 영주시 상망동,26
인천광역시 동구 화수2동,26
충청남도 서천군 서천읍,26
경상남도 밀양시 삼문동,26
경상북도 안동시 강남동,26
경기도 고양시 덕양구 성사1동,26
충청북도 충주시 칠금.금릉동,26
전라북도 남원시 도통동,26
부산광역시 해운대구 우제1동,26
인천광역시 남동구 만수4동,26
경상남도 창원시 마산회원구 봉암동,26
광주광역시 북구 임동,26
경상남도 사천시 벌룡동,26
경상남도 하동군 하동읍,26
서울특별시 동대문구 제기동,26
서울특별시 강남구 대치4동,26
경기도 용인시 기흥구 보정동,26
광주광역시 북구 우산동,26
경기도 성남시 수정구 위례동,26
광주광역시 동구 산수1동,26
부산광역시 연제구 연산제1동,26
서울특별시 강남구 세곡동,26
경상남도 사천시 향촌동,26
경상북도 김천시 평화남산동,26
광주광역시 서구 금호1동,26
경상북도 영천시 중앙동,26
경기도 수원시 영통구 광교2동,25
경기도 파주시 운정3동,25
충청북도 청주시 상당구 용암2동,25
인천광역시 미추홀구 용현3동,25
부산광역시 북구 구포제2동,25
경기도 용인시 수지구 죽전1동,25
경기도 광명시 광명2동,25
충청남도 천안시 서북구 성거읍,25
경상남도 양산시 상북면,25
울산광역시 북구 농소3동,25
경기도 용인시 처인구 백암면,25
경상남도 창원시 마산회원구 합성2동,25
부산광역시 해운대구 반송제1동,25
대전광역시 대덕구 법1동,25
전라북도 완주군 삼례읍,25
경상남도 진주시 초장동,25
강원도 양양군 양양읍,25
전라남도 나주시 빛가람동,25
경기도 용인시 수지구 신봉동,25
인천광역시 부평구 일신동,25
서울특별시 동작구 상도제4동,25
광주광역시 동구 중흥1동,25
경기도 고양시 일산동구 장항1동,25
경기도 수원시 장안구 정자1동,25
충청북도 청주시 청원구 오근장동,25
경상남도 창원시 마산회원구 구암1동,25
서울특별시 송파구 잠실6동,25
인천광역시 계양구 작전1동,25
대전광역시 동구 용운동,25
경상남도 사천시 사천읍,25
강원도 원주시 문막읍,25
서울특별시 구로구 오류제2동,25
부산광역시 수영구 광안제2동,24
경기도 고양시 덕양구 창릉동,24
경기도 포천시 포천동,24
제주특별자치도 제주시 도두동,24
서울특별시 성북구 석관동,24
서울특별시 강동구 성내제2동,24
부산광역시 금정구 구서제2동,24
인천광역시 미추홀구 학익2동,24
전라북도 전주시 완산구 효자3동,24
경기도 부천시 원미1동,24
서울특별시 송파구 마천2동,24
대구광역시 달서구 상인1동,24
경기도 김포시 김포2동,24
경기도 수원시 권선구 금호동,24
전라남도 고흥군 고흥읍,24
제주특별자치도 제주시 용담1동,24
서울특별시 성북구 길음제2동,24
경상북도 경주시 선도동,24
경기도 안산시 단원구 선부2동,24
경상남도 김해시 장유1동,24
광주광역시 서구 광천동,24
부산광역시 영도구 동삼제1동,24
경기도 안성시 원곡면,24
대구광역시 달서구 본동,24
대전광역시 동구 산내동,24
부산광역시 수영구 민락동,24
경기도 고양시 일산동구 백석1동,24
전라남도 함평군 함평읍,24
경기도 부천시 범박동,24
광주광역시 동구 서남동,24
경기도 평택시 통복동,24
부산광역시 서구 동대신제3동,24
대구광역시 북구 산격4동,24
서울특별시 성북구 동선동,24
광주광역시 동구 학동,24
충청남도 서산시 대산읍,24
경기도 여주시 가남읍,24
전라북도 군산시 나운2동,24
전라남도 담양군 담양읍,24
경상남도 밀양시 상남면,24
광주광역시 남구 월산동,24
경상북도 경주시 황남동,24
경기도 고양시 덕양구 원신동,24
광주광역시 북구 운암3동,24
"인천광역시 미추홀구 용현1,4동",24
대구광역시 달서구 두류1.2동,24
부산광역시 북구 금곡동,24
충청남도 아산시 음봉면,24
충청북도 청주시 흥덕구 운천.신봉동,24
강원도 원주시 행구동,24
인천광역시 서구 청라3동,24
경기도 안양시 만안구 안양5동,24
충청북도 청주시 흥덕구 복대2동,23
부산광역시 연제구 연산제5동,23
충청북도 청주시 서원구 남이면,23
인천광역시 서구 당하동,23
인천광역시 계양구 계양3동,23
경상남도 창원시 마산합포구 노산동,23
강원도 춘천시 효자2동,23
서울특별시 양천구 목5동,23
서울특별시 동작구 사당제2동,23
부산광역시 부산진구 부전제2동,23
서울특별시 강동구 둔촌제2동,23
경상남도 밀양시 하남읍,23
서울특별시 서초구 반포3동,23
충청북도 단양군 단양읍,23
부산광역시 사상구 엄궁동,23
서울특별시 은평구 이태원제2동,23
경상북도 안동시 태화동,23
서울특별시 강남구 개포2동,23
경상북도 포항시 남구 구룡포읍,23
경기도 용인시 수지구 상현1동,23
대전광역시 서구 둔산2동,23
서울특별시 중랑구 신내2동,23
경상북도 경산시 남부동,23
강원도 속초시 노학동,23
서울특별시 종로구 창신제3동,23
경기도 포천시 선단동,23
부산광역시 북구 구포제1동,23
충청남도 아산시 온양6동,23
대구광역시 수성구 만촌2동,23
서울특별시 동작구 노량진제2동,23
강원도 원주시 반곡관설동,23
대전광역시 대덕구 목상동,23
경기도 안양시 동안구 관양2동,23
경기도 동두천시 소요동,23
부산광역시 부산진구 범천제2동,23
경상북도 포항시 남구 송도동,23
경기도 안산시 상록구 해양동,23
경기도 포천시 신북면,23
서울특별시 동대문구 전농제1동,23
충청북도 청주시 청원구 내덕1동,22
충청북도 청주시 상당구 용담.명암.산성동,22
충청북도 제천시 의림지동,22
대구광역시 수성구 범어3동,22
울산광역시 동구 전하2동,22
충청남도 보령시 대천5동,22
경기도 성남시 수정구 신흥2동,22
경상북도 김천시 자산동,22
경기도 안성시 미양면,22
광주광역시 북구 운암1동,22
서울특별시 강동구 암사제1동,22
서울특별시 마포구 대흥동,22
경기도 김포시 풍무동,22
서울특별시 중구 필동,22
대전광역시 대덕구 대화동,22
전라북도 익산시 인화동,22
서울특별시 은평구 증산동,22
경기도 부천시 심곡1동,22
충청북도 제천시 중앙동,22
강원도 춘천시 동내면,22
인천광역시 미추홀구 주안6동,22
경기도 의정부시 송산1동,22
부산광역시 동구 초량제3동,22
전라남도 목포시 목원동,22
대전광역시 서구 내동,22
세종특별자치시 금남면,22
서울특별시 강북구 번1동,22
대전광역시 유성구 전민동,22
전라남도 영암군 신북면,22
경기도 군포시 군포2동,22
부산광역시 영도구 영선제1동,22
광주광역시 남구 사직동,22
경기도 고양시 덕양구 주교동,22
부산광역시 남구 우암제1동,22
서울특별시 강서구 등촌제3동,22
충청북도 음성군 삼성면,22
충청북도 충주시 연수동,22
부산광역시 남구 우암제2동,22
전라남도 순천시 덕연동,22
서울특별시 성동구 용답동,21
경기도 이천시 호법면,21
경기도 파주시 월롱면,21
충청남도 보령시 대천2동,21
인천광역시 부평구 삼산2동,21
전라북도 김제시 황산면,21
경상북도 김천시 대곡동,21
서울특별시 강동구 길동,21
경기도 용인시 처인구 남사면,21
서울특별시 종로구 청운효자동,21
전라남도 목포시 북항동,21
충청북도 음성군 음성읍,21
충청남도 서산시 음암면,21
인천광역시 계양구 작전2동,21
경기도 남양주시 금곡동,21
인천광역시 연수구 동춘2동,21
인천광역시 계양구 계산4동,21
경기도 안산시 상록구 부곡동,21
경기도 수원시 장안구 정자3동,21
서울특별시 중랑구 면목본동,21
전라남도 영광군 법성면,21
충청북도 충주시 칠금·금릉동,21
경기도 안양시 만안구 안양8동,21
서울특별시 노원구 상계3.4동,21
전라북도 전주시 완산구 삼천2동,21
경상남도 함안군 칠원읍,21
전라남도 장성군 장성읍,21
경기도 화성시 정남면,21
대전광역시 동구 판암1동,21
대구광역시 달서구 월성1동,21
대구광역시 서구 평리1동,21
경상북도 구미시 공단1동,21
경기도 과천시 과천동,21
경상남도 고성군 고성읍,21
광주광역시 북구 중흥3동,21
경기도 군포시 수리동,21
충청남도 당진시 당진1동,21
부산광역시 서구 암남동,21
경기도 남양주시 양정동,21
충청남도 보령시 대천4동,21
부산광역시 사상구 덕포제2동,21
부산광역시 동래구 사직제1동,21
서울특별시 종로구 혜화동,20
서울특별시 강동구 암사동,20
전라북도 정읍시 시기동,20
경상북도 포항시 북구 환여동,20
경상남도 창녕군 영산면,20
광주광역시 북구 중흥1동,20
경기도 안성시 안성1동,20
대구광역시 동구 신천1.2동,20
충청남도 당진시 당진2동,20
대구광역시 중구 남산3동,20
서울특별시 마포구 공덕동,20
대구광역시 중구 동인동,20
서울특별시 양천구 신정3동,20
경기도 평택시 고덕면,20
경상북도 고령군 다산면,20
대전광역시 서구 가장동,20
전라북도 전주시 덕진구 혁신동,20
강원도 철원군 동송읍,20
충청남도 공주시 신관동,20
경기도 고양시 일산동구 고봉동,20
충청북도 청주시 서원구 사창동,20
대전광역시 중구 유천2동,20
서울특별시 금천구 시흥제5동,20
부산광역시 강서구 명지2동,20
서울특별시 마포구 염리동,20
경기도 성남시 분당구 정자동,20
서울특별시 성동구 옥수동,20
부산광역시 동구 수정제2동,20
서울특별시 영등포구 당산제1동,20
부산광역시 동래구 명장제1동,20
인천광역시 남동구 만수6동,20
부산광역시 부산진구 범천제4동,20
인천광역시 서구 석남2동,20
경기도 화성시 우정읍,20
경상북도 문경시 문경읍,20
강원도 강릉시 초당동,20
전라북도 전주시 완산구 효자2동,20
부산광역시 사상구 모라제3동,20
제주특별자치도 제주시 이호동,20
강원도 춘천시 동면,20
충청남도 금산군 금산읍,20
강원도 원주시 원인동,20
충청남도 당진시 송산면,20
충청북도 충주시 성내.충인동,20
강원도 속초시 청호동,20
부산광역시 수영구 광안제3동,20
부산광역시 부산진구 부암제1동,19
강원도 정선군 사북읍,19
경기도 고양시 덕양구 화전동,19
대구광역시 남구 봉덕2동,19
경기도 화성시 새솔동,19
서울특별시 강서구 화곡제8동,19
부산광역시 사하구 감천제2동,19
서울특별시 관악구 행운동,19
충청북도 청주시 흥덕구 봉명1동,19
경기도 용인시 수지구 풍덕천2동,19
경기도 화성시 비봉면,19
서울특별시 노원구 중계본동,19
전라남도 목포시 원산동,19
대전광역시 중구 석교동,19
대구광역시 수성구 황금2동,19
서울특별시 마포구 신수동,19
부산광역시 사하구 당리동,19
대구광역시 동구 공산동,19
광주광역시 서구 상무1동,19
강원도 강릉시 내곡동,19
인천광역시 남동구 만수5동,19
경기도 수원시 영통구 태장동,19
경상북도 경주시 현곡면,19
광주광역시 광산구 임곡동,19
인천광역시 부평구 부평4동,19
경기도 부천시 송내2동,19
경상북도 구미시 원평1동,19
경상남도 창원시 마산회원구 회성동,19
경기도 이천시 신둔면,19
부산광역시 기장군 일광면,19
대구광역시 수성구 수성2.3가동,19
경기도 고양시 덕양구 능곡동,19
경기도 연천군 연천읍,19
서울특별시 은평구 구산동,19
부산광역시 사하구 다대제2동,19
서울특별시 종로구 사직동,19
광주광역시 서구 금호2동,19
서울특별시 종로구 이화동,19
충청북도 음성군 생극면,19
경기도 화성시 매송면,19
경기도 안양시 만안구 박달2동,19
세종특별자치시 한솔동,19
경기도 오산시 세마동,19
인천광역시 계양구 계산3동,19
부산광역시 연제구 연산제8동,19
경기도 수원시 장안구 조원동,19
서울특별시 용산구 남영동,18
경상북도 군위군 군위읍,18
인천광역시 미추홀구 용현2동,18
경기도 부천시 고강본동,18
충청남도 천안시 서북구 입장면,18
대구광역시 서구 비산7동,18
경상남도 창원시 진해구 태평동,18
대구광역시 수성구 만촌3동,18
인천광역시 중구 송월동,18
경기도 파주시 광탄면,18
충청남도 공주시 웅진동,18
대전광역시 동구 가양2동,18
충청북도 청주시 청원구 내수읍,18
부산광역시 남구 대연제1동,18
경기도 시흥시 군자동,18
부산광역시 남구 대연제5동,18
세종특별자치시 아름동,18
경기도 화성시 마도면,18
경상북도 고령군 대가야읍,18
부산광역시 북구 화명제2동,18
전라남도 강진군 군동면,18
경기도 성남시 수정구 태평3동,18
경기도 김포시 대곶면,18
경상남도 거제시 장승포동,18
충청남도 서천군 장항읍,18
광주광역시 동구 학운동,18
충청북도 청주시 상당구 금천동,18
부산광역시 서구 서대신제4동,18
서울특별시 영등포구 신길제4동,18
부산광역시 중구 대청동,18
경상북도 포항시 북구 신광면,18
서울특별시 강북구 삼양동,18
경기도 광명시 학온동,18
서울특별시 강서구 화곡제2동,18
서울특별시 중구 장충동,18
서울특별시 관악구 낙성대동,18
경상남도 함안군 군북면,18
경상남도 사천시 축동면,18
경기도 안산시 상록구 본오2동,18
서울특별시 관악구 청림동,18
인천광역시 서구 석남1동,18
서울특별시 구로구 수궁동,18
전라남도 강진군 강진읍,18
서울특별시 노원구 월계3동,18
전라남도 광양시 봉강면,18
경상남도 의령군 의령읍,18
전라남도 순천시 중앙동,18
서울특별시 동대문구 답십리제1동,18
제주특별자치도 제주시 삼도2동,18
서울특별시 동대문구 이문제2동,18
경상북도 영주시 휴천1동,18
서울특별시 동작구 사당제1동,18
충청남도 아산시 탕정면,18
경상남도 진주시 정촌면,18
충청북도 음성군 대소면,18
광주광역시 북구 풍향동,18
경상북도 칠곡군 약목면,18
경기도 연천군 전곡읍,18
경기도 수원시 팔달구 우만2동,18
서울특별시 영등포구 대림제2동,18
인천광역시 미추홀구 주안3동,17
충청남도 아산시 인주면,17
전라남도 보성군 보성읍,17
경기도 의왕시 내손2동,17
경기도 구리시 갈매동,17
부산광역시 동래구 안락제1동,17
대전광역시 중구 오류동,17
부산광역시 부산진구 당감제3동,17
대구광역시 달서구 감삼동,17
부산광역시 북구 덕천제3동,17
울산광역시 북구 양정동,17
광주광역시 동구 풍향동,17
인천광역시 미추홀구 도화1동,17
경상남도 거제시 옥포1동,17
강원도 평창군 대관령면,17
경기도 성남시 수정구 태평4동,17
전라남도 고흥군 도양읍,17
경기도 부천시 심곡본동,17
전라남도 영암군 영암읍,17
광주광역시 북구 두암2동,17
경기도 용인시 기흥구 서농동,17
경기도 의정부시 의정부3동,17
충청북도 진천군 광혜원면,17
강원도 속초시 동명동,17
울산광역시 중구 약사동,17
부산광역시 영도구 청학제1동,17
경상북도 경주시 건천읍,17
경상남도 김해시 상동면,17
경기도 성남시 분당구 삼평동,17
서울특별시 강서구 발산제1동,17
대전광역시 서구 만년동,17
서울특별시 광진구 능동,17
인천광역시 중구 동인천동,17
서울특별시 마포구 망원제1동,17
대전광역시 중구 용두동,17
서울특별시 서초구 방배3동,17
전라남도 목포시 부흥동,17
서울특별시 성북구 삼선동,17
경상북도 김천시 지좌동,17
서울특별시 양천구 신월1동,17
전라북도 익산시 어양동,17
대전광역시 대덕구 덕암동,17
충청남도 공주시 중학동,17
서울특별시 은평구 응암제3동,17
경상북도 영주시 휴천2동,17
경상남도 창원시 진해구 충무동,17
충청남도 천안시 서북구 봉명동,17
경상남도 통영시 북신동,17
경상북도 포항시 남구 청림동,17
경기도 시흥시 정왕3동,17
경기도 성남시 수정구 신촌동,17
전라남도 순천시 왕조2동,16
경상북도 울진군 울진읍,16
제주특별자치도 서귀포시 대륜동,16
경기도 의정부시 의정부1동,16
충청북도 청주시 흥덕구 송정동,16
경기도 양주시 장흥면,16
경기도 수원시 권선구 입북동,16
서울특별시 성북구 장위제2동,16
경상남도 양산시 하북면,16
서울특별시 용산구 서빙고동,16
대구광역시 달서구 송현1동,16
서울특별시 용산구 원효로제2동,16
경상북도 구미시 형곡2동,16
대전광역시 대덕구 석봉동,16
광주광역시 남구 송암동,16
서울특별시 은평구 신사제1동,16
전라북도 전주시 덕진구 금암2동,16
강원도 속초시 교동,16
제주특별자치도 서귀포시 표선면,16
대전광역시 동구 삼성동,16
충청남도 당진시 석문면,16
경기도 성남시 분당구 백현동,16
충청남도 홍성군 광천읍,16
경상북도 포항시 북구 양학동,16
충청북도 청주시 흥덕구 강내면,16
서울특별시 강남구 일원동,16
부산광역시 강서구 가락동,16
서울특별시 강북구 수유3동,16
서울특별시 광진구 광장동,16
경기도 광주시 퇴촌면,16
전라남도 순천시 저전동,16
서울특별시 강서구 공항동,16
경상남도 양산시 소주동,16
경기도 화성시 장안면,16
전라북도 익산시 오산면,16
강원도 인제군 인제읍,16
경기도 여주시 오학동,16
경기도 성남시 분당구 수내2동,16
경상북도 안동시 풍산읍,16
대구광역시 서구 원대동,16
경기도 양주시 회천4동,16
인천광역시 부평구 부평1동,16
경기도 안양시 만안구 안양7동,16
서울특별시 관악구 미성동,16
서울특별시 동대문구 장안제1동,16
경기도 안산시 상록구 사이동,16
서울특별시 동대문구 청량리동,16
경기도 평택시 지산동,16
경기도 안양시 동안구 호계1동,16
대구광역시 서구 평리2동,16
경기도 김포시 장기동,16
경기도 안성시 대덕면,16
부산광역시 북구 덕천제1동,16
대구광역시 서구 평리3동,16
경기도 여주시 여흥동,16
경기도 양주시 은현면,16
제주특별자치도 제주시 한경면,15
서울특별시 동작구 상도제3동,15
인천광역시 부평구 부개2동,15
인천광역시 중구 영종동,15
서울특별시 성북구 월곡제2동,15
서울특별시 관악구 청룡동,15
경기도 광명시 소하1동,15
경기도 파주시 파주읍,15
대구광역시 동구 효목2동,15
서울특별시 서초구 잠원동,15
충청북도 청주시 서원구 모충동,15
전라남도 곡성군 곡성읍,15
충청북도 충주시 중앙탑면,15
대구광역시 서구 비산1동,15
강원도 강릉시 사천면,15
경기도 수원시 장안구 조원1동,15
대구광역시 중구 대신동,15
전라남도 나주시 남평읍,15
경상남도 창원시 마산합포구 문화동,15
경기도 광명시 철산2동,15
경기도 고양시 일산동구 백석2동,15
전라남도 목포시 죽교동,15
경상북도 칠곡군 동명면,15
부산광역시 부산진구 전포제1동,15
서울특별시 은평구 응암제1동,15
충청북도 충주시 교현2동,15
충청북도 충주시 교현·안림동,15
전라남도 순천시 장천동,15
부산광역시 금정구 서제1동,15
울산광역시 남구 선암동,15
인천광역시 미추홀구 숭의4동,15
강원도 춘천시 효자3동,15
충청남도 논산시 채운면,15
전라남도 여수시 국동,15
경기도 부천시 상2동,15
경기도 수원시 권선구 세류3동,15
경상북도 영천시 청통면,15
부산광역시 중구 부평동,15
경기도 용인시 처인구 이동읍,15
전라남도 진도군 진도읍,15
대전광역시 동구 가양1동,15
전라북도 순창군 순창읍,15
인천광역시 부평구 산곡3동,15
서울특별시 양천구 목4동,15
충청북도 음성군 맹동면,15
대구광역시 북구 대현동,15
경상북도 청송군 파천면,15
충청북도 충주시 주덕읍,15
인천광역시 부평구 십정1동,15
경상북도 성주군 성주읍,15
경기도 화성시 병점2동,15
부산광역시 금정구 부곡제2동,15
경기도 양주시 양주1동,15
경상남도 거제시 수양동,15
인천광역시 연수구 옥련1동,15
경상북도 경산시 자인면,15
서울특별시 강서구 마곡동,15
서울특별시 관악구 인헌동,15
울산광역시 남구 삼호동,15
부산광역시 부산진구 당감제4동,14
경상북도 청송군 청송읍,14
경기도 수원시 영통구 매탄동,14
경상남도 창원시 마산합포구 현동,14
서울특별시 관악구 신사동,14
충청북도 충주시 호암.직동,14
세종특별자치시 전의면,14
경기도 수원시 팔달구 매교동,14
충청남도 천안시 동남구 일봉동,14
대전광역시 중구 문화1동,14
경상북도 경주시 양남면,14
경기도 광명시 철산3동,14
대구광역시 수성구 파동,14
인천광역시 중구 율목동,14
경기도 시흥시 장곡동,14
부산광역시 해운대구 좌제2동,14
부산광역시 수영구 망미제2동,14
대구광역시 동구 동촌동,14
충청남도 당진시 합덕읍,14
부산광역시 서구 부민동,14
경기도 구리시 교문1동,14
경기도 파주시 운정2동,14
인천광역시 미추홀구 문학동,14
전라남도 구례군 구례읍,14
부산광역시 동구 범일제2동,14
경기도 포천시 탄현동,14
경상남도 거창군 가조면,14
대전광역시 대덕구 비래동,14
제주특별자치도 서귀포시 정방동,14
